Player,Stage 1: FPS,Stage 2
Jalen Green,30.55,41.935483870967744
JaMychal Green,13.65,25.806451612903224
Javonte Green,16.075,32.25806451612903
Jeff Green,16.225,29.03225806451613
Josh Green,12.4,38.70967741935484
AJ Griffin,8.2,41.935483870967744
Blake Griffin,8.1,29.03225806451613
Rui Hachimura,20.125000000000004,32.25806451612903
Tyrese Haliburton,44.75000000000001,70.96774193548387
R.J. Hampton,12.15,38.70967741935484
Tim Hardaway Jr.,21.65,45.16129032258064
James Harden,49.324999999999996,64.51612903225806
Jaden Hardy,1.5,12.903225806451612
Ron Harper Jr.,0.0,12.903225806451612
Montrezl Harrell,7.6499999999999995,19.35483870967742
Joe Harris,15.5,32.25806451612903
Kevon Harris,7.5,16.129032258064516
Tobias Harris,29.725,38.70967741935484
Josh Hart,30.4,32.25806451612903
Isaiah Hartenstein,24.5,22.58064516129032
Udonis Haslem,3.75,19.35483870967742
Sam Hauser,10.125,29.03225806451613
Jaxson Hayes,4.0,12.903225806451612
Killian Hayes,12.375,6.451612903225806
Gordon Hayward,32.199999999999996,38.70967741935484
Juancho Hernangómez,1.875,19.35483870967742
Willy Hernangómez,8.125,25.806451612903224
Tyler Herro,34.199999999999996,48.38709677419355
Buddy Hield,33.6,51.61290322580645
Haywood Highsmith,3.1,12.903225806451612
George Hill,12.8,32.25806451612903
Malcolm Hill,0.625,6.451612903225806
Aaron Holiday,11.05,25.806451612903224
Jrue Holiday,43.3,54.83870967741935
Justin Holiday,11.524999999999999,16.129032258064516
Richaun Holmes,8.274999999999999,16.129032258064516
Al Horford,18.65,25.806451612903224
Talen Horton-Tucker,17.1,25.806451612903224
Danuel House Jr.,6.424999999999999,19.35483870967742
Caleb Houstan,7.674999999999999,16.129032258064516
Trevor Hudgins,3.5,35.483870967741936
Kevin Huerter,31.35,51.61290322580645
De'Andre Hunter,21.35,29.03225806451613
Bones Hyland,20.099999999999998,51.61290322580645
Serge Ibaka,5.699999999999999,16.129032258064516
Brandon Ingram,37.325,64.51612903225806
Kyrie Irving,49.650000000000006,61.29032258064516
Jaden Ivey,28.975,29.03225806451613
Isaiah Jackson,20.375,29.03225806451613
Justin Jackson,3.5,32.25806451612903
Reggie Jackson,19.549999999999997,25.806451612903224
LeBron James,51.05,48.38709677419355
Ty Jerome,8.125,41.935483870967744
Isaiah Joe,6.050000000000001,70.96774193548387
Cameron Johnson,24.000000000000004,38.70967741935484
Jalen Johnson,9.399999999999999,25.806451612903224
James Johnson,10.675,16.129032258064516
Keldon Johnson,40.1,54.83870967741935
Keon Johnson,10.600000000000001,25.806451612903224
Nikola Jokić,50.275000000000006,64.51612903225806
Damian Jones,8.149999999999999,12.903225806451612
Derrick Jones Jr.,11.999999999999998,29.03225806451613
Herbert Jones,16.675,16.129032258064516
Kai Jones,4.1,54.83870967741935
Tre Jones,28.450000000000003,38.70967741935484
Tyus Jones,24.424999999999997,35.483870967741936
DeAndre Jordan,14.225000000000001,32.25806451612903
Cory Joseph,9.524999999999999,29.03225806451613
Nikola Jović,4.574999999999999,16.129032258064516
Frank Kaminsky,5.125,35.483870967741936
Trevor Keels,1.25,29.03225806451613
Luke Kennard,15.524999999999999,29.03225806451613
Walker Kessler,17.6,25.806451612903224
Braxton Key,4.0,38.70967741935484
Maxi Kleber,15.725,29.03225806451613
Nathan Knight,1.25,6.451612903225806
Kevin Knox,3.1999999999999997,16.129032258064516
Christian Koloko,10.625000000000002,22.58064516129032
John Konchar,19.55,29.03225806451613
Furkan Korkmaz,1.375,22.58064516129032
Luke Kornet,9.525,22.58064516129032
Vit Krejci,2.6750000000000003,29.03225806451613
Jonathan Kuminga,5.900000000000001,16.129032258064516
Kyle Kuzma,31.875000000000004,41.935483870967744
Anthony Lamb,6.0,16.129032258064516
Jock Landale,19.625,38.70967741935484
Romeo Langford,8.399999999999999,6.451612903225806
Jake LaRavia,15.100000000000001,38.70967741935484
Zach LaVine,34.875,51.61290322580645
Damion Lee,12.375,32.25806451612903
Alex Len,1.175,16.129032258064516
Kawhi Leonard,25.875,45.16129032258064
Caris LeVert,32.025,41.935483870967744
Damian Lillard,46.4,64.51612903225806
Nassir Little,10.625,29.03225806451613
Isaiah Livers,11.3,29.03225806451613
Kenneth Lofton Jr.,4.325,25.806451612903224
Kevon Looney,20.05,29.03225806451613
Brook Lopez,34.15,41.935483870967744
Robin Lopez,11.95,19.35483870967742
Kevin Love,25.424999999999997,51.61290322580645
Kyle Lowry,29.075,35.483870967741936
Trey Lyles,15.625,29.03225806451613
Théo Maledon,13.0,35.483870967741936
Sandro Mamukelashvili,-0.5,3.225806451612903
Terance Mann,11.049999999999999,12.903225806451612
Tre Mann,24.650000000000002,29.03225806451613
Boban Marjanović,2.85,19.35483870967742
Lauri Markkanen,42.225,51.61290322580645
Naji Marshall,20.425000000000004,22.58064516129032
Caleb Martin,21.0,35.483870967741936
Cody Martin,0.0,0.0
Kenyon Martin Jr.,21.424999999999997,19.35483870967742
Tyrese Martin,3.05,35.483870967741936
Garrison Mathews,7.3,32.25806451612903
Bennedict Mathurin,30.174999999999997,51.61290322580645
Wesley Matthews,10.6,19.35483870967742
Tyrese Maxey,35.650000000000006,51.61290322580645
Miles McBride,0.0,6.451612903225806
CJ McCollum,38.824999999999996,51.61290322580645
T.J. McConnell,11.950000000000001,12.903225806451612
Jaden McDaniels,23.099999999999994,35.483870967741936
Jalen McDaniels,24.674999999999997,29.03225806451613
Doug McDermott,18.700000000000003,38.70967741935484
JaVale McGee,11.9,29.03225806451613
