,Team_left,PG,SG,SF,PF,C,Player,Stage 1: FPS,Stage 2,Team_right,Stage 3
58,,,,,,,Jalen Brunson,37.05,41.935483870967744,,
59,,,,,,,Reggie Bullock,15.2,32.25806451612903,,
60,,,,,,,Jimmy Butler,40.35,64.51612903225806,,
61,,,,,,,Kentavious Caldwell-Pope,25.4,41.935483870967744,,
62,,,,,,,Facundo Campazzo,7.0,25.806451612903224,,
63,,,,,,,Vlatko Čančar,-0.15,0.0,,
64,,,,,,,Clint Capela,25.025,22.58064516129032,,
65,,,,,,,Vernon Carey Jr.,0.0,0.0,,
66,,,,,,,Jevon Carter,12.825,12.903225806451612,,
67,,,,,,,Wendell Carter Jr.,30.925000000000004,29.03225806451613,,
68,,,,,,,Alex Caruso,19.5,29.03225806451613,,
69,,,,,,,Justin Champagnie,4.875,29.03225806451613,,
70,,,,,,,Kennedy Chandler,4.925,12.903225806451612,,
71,,,,,,,Max Christie,4.75,64.51612903225806,,
72,,,,,,,Josh Christopher,5.550000000000001,9.67741935483871,,
73,,,,,,,Brandon Clarke,17.474999999999998,22.58064516129032,,
74,,,,,,,Jordan Clarkson,32.725,41.935483870967744,,
75,,,,,,,Nic Claxton,28.90000000000001,35.483870967741936,,
76,,,,,,,Amir Coffey,6.3500000000000005,19.35483870967742,,
77,,,,,,,John Collins,32.325,25.806451612903224,,
78,,,,,,,Zach Collins,20.825,35.483870967741936,,
79,,,,,,,Mike Conley,29.375000000000004,38.70967741935484,,
80,,,,,,,Robert Covington,16.349999999999998,38.70967741935484,,
81,,,,,,,Torrey Craig,12.825,29.03225806451613,,
82,,,,,,,Cade Cunningham,42.875,45.16129032258064,,
83,,,,,,,Seth Curry,15.5,32.25806451612903,,
84,,,,,,,Stephen Curry,52.075,70.96774193548387,,
85,,,,,,,Dyson Daniels,14.375,51.61290322580645,,
86,,,,,,,Anthony Davis,48.25,61.29032258064516,,
87,,,,,,,Johnny Davis,2.375,6.451612903225806,,
88,,,,,,,Terence Davis,11.45,38.70967741935484,,
89,,,,,,,Dewayne Dedmon,5.8,16.129032258064516,,
90,,,,,,,Matthew Dellavedova,4.0,38.70967741935484,,
91,,,,,,,DeMar DeRozan,38.45,61.29032258064516,,
92,,,,,,,Moussa Diabaté,4.5,58.06451612903226,,
93,,,,,,,Mamadi Diakite,0.0,0.0,,
94,,,,,,,Hamidou Diallo,11.875,19.35483870967742,,
95,,,,,,,Gorgui Dieng,8.825000000000001,35.483870967741936,,
96,,,,,,,Ousmane Dieng,6.5,12.903225806451612,,
97,,,,,,,Spencer Dinwiddie,27.125,35.483870967741936,,
98,,,,,,,Donte DiVincenzo,7.324999999999999,25.806451612903224,,
99,,,,,,,Luka Dončić,65.525,67.74193548387096,,
100,,,,,,,Tyler Dorsey,12.0,45.16129032258064,,
101,,,,,,,Luguentz Dort,26.375,38.70967741935484,,
102,,,,,,,Ayo Dosunmu,26.075,35.483870967741936,,
103,,,,,,,Jeff Dowtin,6.75,32.25806451612903,,
104,,,,,,,Goran Dragić,16.099999999999998,29.03225806451613,,
105,,,,,,,Andre Drummond,25.05,35.483870967741936,,
106,,,,,,,Chris Duarte,15.849999999999998,35.483870967741936,,
107,,,,,,,David Duke Jr.,17.25,32.25806451612903,,
108,,,,,,,Kevin Durant,50.275,58.06451612903226,,
109,,,,,,,Jalen Duren,18.075000000000003,19.35483870967742,,
110,,,,,,,Tari Eason,16.95,38.70967741935484,,
111,,,,,,,Anthony Edwards,39.425,35.483870967741936,,
112,,,,,,,Kessler Edwards,5.5,64.51612903225806,,
113,,,,,,,Joel Embiid,46.075,48.38709677419355,,
114,,,,,,,Drew Eubanks,9.675,29.03225806451613,,
115,,,,,,,Bruno Fernando,23.125,45.16129032258064,,
116,,,,,,,Dorian Finney-Smith,18.475,19.35483870967742,,
117,,,,,,,Malachi Flynn,5.125,25.806451612903224,,
118,,,,,,,Simone Fontecchio,4.7,25.806451612903224,,
119,,,,,,,Bryn Forbes,5.199999999999999,25.806451612903224,,
120,,,,,,,Trent Forrest,1.925,9.67741935483871,,
121,,,,,,,Evan Fournier,20.700000000000003,38.70967741935484,,
122,,,,,,,De'Aaron Fox,41.3,51.61290322580645,,
123,,,,,,,Wenyen Gabriel,9.075,25.806451612903224,,
124,,,,,,,Daniel Gafford,11.425,22.58064516129032,,
125,,,,,,,Darius Garland,13.25,32.25806451612903,,
126,,,,,,,Usman Garuba,12.175,35.483870967741936,,
127,,,,,,,Rudy Gay,14.5,12.903225806451612,,
128,,,,,,,Paul George,42.3,48.38709677419355,,
129,,,,,,,Taj Gibson,3.525,51.61290322580645,,
130,,,,,,,Josh Giddey,33.925,29.03225806451613,,
131,,,,,,,Shai Gilgeous-Alexander,54.15,67.74193548387096,,
132,,,,,,,Anthony Gill,8.974999999999998,25.806451612903224,,
133,,,,,,,Rudy Gobert,37.775000000000006,35.483870967741936,,
134,,,,,,,Jordan Goodwin,10.125,19.35483870967742,,
135,,,,,,,Aaron Gordon,27.0,22.58064516129032,,
136,,,,,,,Eric Gordon,25.075,32.25806451612903,,
137,,,,,,,Devonte' Graham,15.625000000000002,29.03225806451613,,
138,,,,,,,Jerami Grant,26.8,38.70967741935484,,
139,,,,,,,A.J. Green,1.5,9.67741935483871,,
140,,,,,,,Draymond Green,27.9,19.35483870967742,,
141,,,,,,,Jalen Green,30.55,41.935483870967744,,
142,,,,,,,JaMychal Green,13.65,25.806451612903224,,
143,,,,,,,Javonte Green,16.075,32.25806451612903,,
144,,,,,,,Jeff Green,16.225,29.03225806451613,,
145,,,,,,,Josh Green,12.4,38.70967741935484,,
146,,,,,,,AJ Griffin,8.2,41.935483870967744,,
147,,,,,,,Blake Griffin,8.1,29.03225806451613,,
148,,,,,,,Rui Hachimura,20.125000000000004,32.25806451612903,,
149,,,,,,,Tyrese Haliburton,44.75000000000001,70.96774193548387,,
150,,,,,,,R.J. Hampton,12.15,38.70967741935484,,
151,,,,,,,Tim Hardaway Jr.,21.65,45.16129032258064,,
152,,,,,,,James Harden,49.325,64.51612903225806,,
153,,,,,,,Jaden Hardy,1.5,12.903225806451612,,
154,,,,,,,Ron Harper Jr.,0.0,12.903225806451612,,
155,,,,,,,Montrezl Harrell,7.649999999999999,19.35483870967742,,
156,,,,,,,Joe Harris,15.5,32.25806451612903,,
157,,,,,,,Kevon Harris,7.5,16.129032258064516,,
158,,,,,,,Tobias Harris,29.725,38.70967741935484,,
159,,,,,,,Josh Hart,30.4,32.25806451612903,,
160,,,,,,,Isaiah Hartenstein,24.5,22.58064516129032,,
161,,,,,,,Udonis Haslem,3.75,19.35483870967742,,
162,,,,,,,Sam Hauser,10.125,29.03225806451613,,
163,,,,,,,Jaxson Hayes,4.0,12.903225806451612,,
164,,,,,,,Killian Hayes,12.375,6.451612903225806,,
165,,,,,,,Gordon Hayward,32.2,38.70967741935484,,
166,,,,,,,Juancho Hernangómez,1.875,19.35483870967742,,
167,,,,,,,Willy Hernangómez,8.125,25.806451612903224,,
168,,,,,,,Tyler Herro,34.2,48.38709677419355,,
169,,,,,,,Buddy Hield,33.6,51.61290322580645,,
170,,,,,,,Haywood Highsmith,3.1,12.903225806451612,,
171,,,,,,,George Hill,12.8,32.25806451612903,,
172,,,,,,,Malcolm Hill,0.625,6.451612903225806,,
173,,,,,,,Aaron Holiday,11.05,25.806451612903224,,
174,,,,,,,Jrue Holiday,43.3,54.83870967741935,,
175,,,,,,,Justin Holiday,11.525,16.129032258064516,,
176,,,,,,,Richaun Holmes,8.274999999999999,16.129032258064516,,
177,,,,,,,Al Horford,18.65,25.806451612903224,,
178,,,,,,,Talen Horton-Tucker,17.1,25.806451612903224,,
179,,,,,,,Danuel House Jr.,6.424999999999999,19.35483870967742,,
180,,,,,,,Caleb Houstan,7.674999999999999,16.129032258064516,,
181,,,,,,,Trevor Hudgins,3.5,35.483870967741936,,
182,,,,,,,Kevin Huerter,31.35,51.61290322580645,,
183,,,,,,,De'Andre Hunter,21.35,29.03225806451613,,
184,,,,,,,Bones Hyland,20.1,51.61290322580645,,
185,,,,,,,Serge Ibaka,5.699999999999999,16.129032258064516,,
186,,,,,,,Brandon Ingram,37.325,64.51612903225806,,
187,,,,,,,Kyrie Irving,49.650000000000006,61.29032258064516,,
188,,,,,,,Jaden Ivey,28.975,29.03225806451613,,
189,,,,,,,Isaiah Jackson,20.375,29.03225806451613,,
190,,,,,,,Justin Jackson,3.5,32.25806451612903,,
191,,,,,,,Reggie Jackson,19.55,25.806451612903224,,
192,,,,,,,LeBron James,51.05,48.38709677419355,,
193,,,,,,,Ty Jerome,8.125,41.935483870967744,,
194,,,,,,,Isaiah Joe,6.050000000000001,70.96774193548387,,
195,,,,,,,Cameron Johnson,24.000000000000004,38.70967741935484,,
196,,,,,,,Jalen Johnson,9.4,25.806451612903224,,
197,,,,,,,James Johnson,10.675,16.129032258064516,,
198,,,,,,,Keldon Johnson,40.1,54.83870967741935,,
199,,,,,,,Keon Johnson,10.6,25.806451612903224,,
200,,,,,,,Nikola Jokić,50.275000000000006,64.51612903225806,,
201,,,,,,,Damian Jones,8.149999999999999,12.903225806451612,,
202,,,,,,,Derrick Jones Jr.,11.999999999999998,29.03225806451613,,
203,,,,,,,Herbert Jones,16.675,16.129032258064516,,
204,,,,,,,Kai Jones,4.1,54.83870967741935,,
205,,,,,,,Tre Jones,28.450000000000003,38.70967741935484,,
206,,,,,,,Tyus Jones,24.425,35.483870967741936,,
207,,,,,,,DeAndre Jordan,14.225,32.25806451612903,,
208,,,,,,,Cory Joseph,9.525,29.03225806451613,,
209,,,,,,,Nikola Jović,4.574999999999999,16.129032258064516,,
210,,,,,,,Frank Kaminsky,5.125,35.483870967741936,,
211,,,,,,,Trevor Keels,1.25,29.03225806451613,,
212,,,,,,,Luke Kennard,15.525,29.03225806451613,,
213,,,,,,,Walker Kessler,17.6,25.806451612903224,,
214,,,,,,,Braxton Key,4.0,38.70967741935484,,
215,,,,,,,Maxi Kleber,15.725,29.03225806451613,,
216,,,,,,,Nathan Knight,1.25,6.451612903225806,,
217,,,,,,,Kevin Knox,3.2,16.129032258064516,,
218,,,,,,,Christian Koloko,10.625000000000002,22.58064516129032,,
219,,,,,,,John Konchar,19.55,29.03225806451613,,
220,,,,,,,Furkan Korkmaz,1.375,22.58064516129032,,
221,,,,,,,Luke Kornet,9.525,22.58064516129032,,
222,,,,,,,Vit Krejci,2.6750000000000003,29.03225806451613,,
223,,,,,,,Jonathan Kuminga,5.900000000000001,16.129032258064516,,
224,,,,,,,Kyle Kuzma,31.875000000000004,41.935483870967744,,
225,,,,,,,Anthony Lamb,6.0,16.129032258064516,,
226,,,,,,,Jock Landale,19.625,38.70967741935484,,
227,,,,,,,Romeo Langford,8.399999999999999,6.451612903225806,,
228,,,,,,,Jake LaRavia,15.1,38.70967741935484,,
229,,,,,,,Zach LaVine,34.875,51.61290322580645,,
230,,,,,,,Damion Lee,12.375,32.25806451612903,,
231,,,,,,,Alex Len,1.175,16.129032258064516,,
232,,,,,,,Kawhi Leonard,25.875,45.16129032258064,,
233,,,,,,,Caris LeVert,32.025,41.935483870967744,,
234,,,,,,,Damian Lillard,46.4,64.51612903225806,,
235,,,,,,,Nassir Little,10.625,29.03225806451613,,
236,,,,,,,Isaiah Livers,11.3,29.03225806451613,,
237,,,,,,,Kenneth Lofton Jr.,4.325,25.806451612903224,,
238,,,,,,,Kevon Looney,20.05,29.03225806451613,,
239,,,,,,,Brook Lopez,34.15,41.935483870967744,,
240,,,,,,,Robin Lopez,11.95,19.35483870967742,,
241,,,,,,,Kevin Love,25.425,51.61290322580645,,
242,,,,,,,Kyle Lowry,29.075,35.483870967741936,,
243,,,,,,,Trey Lyles,15.625,29.03225806451613,,
244,,,,,,,Théo Maledon,13.0,35.483870967741936,,
245,,,,,,,Sandro Mamukelashvili,-0.5,3.225806451612903,,
246,,,,,,,Terance Mann,11.05,12.903225806451612,,
247,,,,,,,Tre Mann,24.65,29.03225806451613,,
248,,,,,,,Boban Marjanović,2.85,19.35483870967742,,
249,,,,,,,Lauri Markkanen,42.225,51.61290322580645,,
250,,,,,,,Naji Marshall,20.425000000000004,22.58064516129032,,
251,,,,,,,Caleb Martin,21.0,35.483870967741936,,
252,,,,,,,Cody Martin,0.0,0.0,,
253,,,,,,,Kenyon Martin Jr.,21.425,19.35483870967742,,
254,,,,,,,Tyrese Martin,3.05,35.483870967741936,,
255,,,,,,,Garrison Mathews,7.3,32.25806451612903,,
256,,,,,,,Bennedict Mathurin,30.175,51.61290322580645,,
257,,,,,,,Wesley Matthews,10.6,19.35483870967742,,
258,,,,,,,Tyrese Maxey,35.650000000000006,51.61290322580645,,
259,,,,,,,Miles McBride,0.0,6.451612903225806,,
260,,,,,,,CJ McCollum,38.825,51.61290322580645,,
261,,,,,,,T.J. McConnell,11.95,12.903225806451612,,
262,,,,,,,Jaden McDaniels,23.099999999999994,35.483870967741936,,
263,,,,,,,Jalen McDaniels,24.675,29.03225806451613,,
264,,,,,,,Doug McDermott,18.700000000000003,38.70967741935484,,
265,,,,,,,JaVale McGee,11.9,29.03225806451613,,
266,,,,,,,Bryce McGowens,3.025,25.806451612903224,,
267,,,,,,,Rodney McGruder,2.375,19.35483870967742,,
268,,,,,,,Jordan McLaughlin,12.55,25.806451612903224,,
269,,,,,,,De'Anthony Melton,21.275,41.935483870967744,,
270,,,,,,,Chimezie Metu,7.574999999999999,29.03225806451613,,
271,,,,,,,Patty Mills,9.074999999999998,45.16129032258064,,
272,,,,,,,Shake Milton,5.475,9.67741935483871,,
273,,,,,,,Davion Mitchell,13.8,16.129032258064516,,
274,,,,,,,Donovan Mitchell,53.175,70.96774193548387,,
275,,,,,,,Evan Mobley,30.3,29.03225806451613,,
276,,,,,,,Isaiah Mobley,4.75,38.70967741935484,,
277,,,,,,,Chima Moneke,4.0,22.58064516129032,,
278,,,,,,,Malik Monk,19.625,32.25806451612903,,
279,,,,,,,Moses Moody,12.05,25.806451612903224,,
280,,,,,,,Wendell Moore Jr.,-0.5,16.129032258064516,,
281,,,,,,,Ja Morant,50.275,70.96774193548387,,
282,,,,,,,Marcus Morris,25.450000000000003,35.483870967741936,,
283,,,,,,,Markieff Morris,7.15,22.58064516129032,,
284,,,,,,,Monte Morris,25.700000000000003,32.25806451612903,,
285,,,,,,,Trey Murphy III,27.8,45.16129032258064,,
286,,,,,,,Dejounte Murray,43.925,54.83870967741935,,
287,,,,,,,Jamal Murray,23.85,29.03225806451613,,
288,,,,,,,Keegan Murray,27.6,38.70967741935484,,
289,,,,,,,Mike Muscala,16.15,48.38709677419355,,
290,,,,,,,Svi Mykhailiuk,6.0,45.16129032258064,,
291,,,,,,,Larry Nance Jr.,19.25,19.35483870967742,,
292,,,,,,,Andrew Nembhard,13.575,35.483870967741936,,
293,,,,,,,Aaron Nesmith,17.425,25.806451612903224,,
294,,,,,,,Raul Neto,7.199999999999999,25.806451612903224,,
295,,,,,,,Georges Niang,11.199999999999998,35.483870967741936,,
296,,,,,,,Daishen Nix,8.2,29.03225806451613,,
297,,,,,,,Zeke Nnaji,1.9,12.903225806451612,,
298,,,,,,,Nerlens Noel,14.0,32.25806451612903,,
299,,,,,,,Jaylen Nowell,23.175,35.483870967741936,,
300,,,,,,,Kendrick Nunn,9.9,19.35483870967742,,
301,,,,,,,Jusuf Nurkić,35.45,29.03225806451613,,
302,,,,,,,Jordan Nwora,10.125,25.806451612903224,,
303,,,,,,,Royce O'Neale,24.675,32.25806451612903,,
304,,,,,,,Chuma Okeke,11.499999999999998,25.806451612903224,,
305,,,,,,,Josh Okogie,3.325,38.70967741935484,,
306,,,,,,,Onyeka Okongwu,19.55,29.03225806451613,,
307,,,,,,,Isaac Okoro,4.275,16.129032258064516,,
308,,,,,,,KZ Okpala,2.3000000000000003,12.903225806451612,,
309,,,,,,,Kelly Olynyk,27.3,35.483870967741936,,
310,,,,,,,Eugene Omoruyi,8.525,25.806451612903224,,
311,,,,,,,Cedi Osman,18.675,38.70967741935484,,
312,,,,,,,Kelly Oubre Jr.,28.875,35.483870967741936,,
313,,,,,,,Chris Paul,34.675000000000004,38.70967741935484,,
314,,,,,,,Cameron Payne,18.5,41.935483870967744,,
315,,,,,,,Theo Pinson,6.0,25.806451612903224,,
316,,,,,,,Scotty Pippen Jr.,2.0,22.58064516129032,,
317,,,,,,,Mason Plumlee,24.425,25.806451612903224,,
318,,,,,,,Jakob Poeltl,36.05,29.03225806451613,,
319,,,,,,,Aleksej Pokusevski,16.25,12.903225806451612,,
320,,,,,,,Jordan Poole,31.3,48.38709677419355,,
321,,,,,,,Kevin Porter Jr.,39.4,45.16129032258064,,
322,,,,,,,Michael Porter Jr.,32.925000000000004,51.61290322580645,,
323,,,,,,,Bobby Portis,30.675,38.70967741935484,,
324,,,,,,,Kristaps Porziņģis,36.8,48.38709677419355,,
325,,,,,,,Micah Potter,4.625,19.35483870967742,,
326,,,,,,,Dwight Powell,10.05,35.483870967741936,,
327,,,,,,,Norman Powell,17.475,22.58064516129032,,
328,,,,,,,Jason Preston,0.0,29.03225806451613,,
329,,,,,,,Joshua Primo,18.475,25.806451612903224,,
330,,,,,,,Taurean Prince,15.1,22.58064516129032,,
331,,,,,,,Payton Pritchard,4.625,35.483870967741936,,
332,,,,,,,Immanuel Quickley,21.674999999999997,19.35483870967742,,
333,,,,,,,Julius Randle,37.575,35.483870967741936,,
334,,,,,,,Austin Reaves,14.6,38.70967741935484,,
335,,,,,,,Cam Reddish,14.525,25.806451612903224,,
336,,,,,,,Davon Reed,2.75,16.129032258064516,,
337,,,,,,,Paul Reed,2.25,9.67741935483871,,
338,,,,,,,Naz Reid,13.25,45.16129032258064,,
339,,,,,,,Nick Richards,22.15,38.70967741935484,,
340,,,,,,,Josh Richardson,23.525,41.935483870967744,,
341,,,,,,,Austin Rivers,1.075,6.451612903225806,,
342,,,,,,,Duncan Robinson,9.775,32.25806451612903,,
343,,,,,,,Mitchell Robinson,21.5,29.03225806451613,,
344,,,,,,,Jeremiah Robinson-Earl,14.525,45.16129032258064,,
345,,,,,,,Isaiah Roby,10.6,25.806451612903224,,
346,,,,,,,David Roddy,12.650000000000002,22.58064516129032,,
347,,,,,,,Ryan Rollins,0.6749999999999999,12.903225806451612,,
348,,,,,,,Derrick Rose,16.375,48.38709677419355,,
349,,,,,,,Terrence Ross,20.675000000000004,29.03225806451613,,
350,,,,,,,Terry Rozier,49.0,54.83870967741935,,
351,,,,,,,D'Angelo Russell,34.325,41.935483870967744,,
352,,,,,,,Matt Ryan,7.199999999999999,29.03225806451613,,
353,,,,,,,Domantas Sabonis,37.12500000000001,35.483870967741936,,
354,,,,,,,Dario Šarić,0.0,12.903225806451612,,
355,,,,,,,Jordan Schakel,3.5,48.38709677419355,,
356,,,,,,,Admiral Schofield,4.0,29.03225806451613,,
357,,,,,,,Dereon Seabron,0.0,0.0,,
358,,,,,,,Alperen Şengün,32.35,35.483870967741936,,
359,,,,,,,Collin Sexton,20.0,41.935483870967744,,
360,,,,,,,Landry Shamet,12.25,38.70967741935484,,
361,,,,,,,Day'Ron Sharpe,14.2,25.806451612903224,,
362,,,,,,,Shaedon Sharpe,15.2,25.806451612903224,,
363,,,,,,,Pascal Siakam,51.9,61.29032258064516,,
364,,,,,,,Ben Simmons,27.724999999999994,19.35483870967742,,
365,,,,,,,Marko Simonovic,0.0,16.129032258064516,,
366,,,,,,,Anfernee Simons,31.9,48.38709677419355,,
367,,,,,,,Jericho Sims,0.625,3.225806451612903,,
368,,,,,,,Marcus Smart,25.750000000000004,35.483870967741936,,
369,,,,,,,Dennis Smith Jr.,32.425,32.25806451612903,,
370,,,,,,,Dru Smith,5.25,25.806451612903224,,
371,,,,,,,Ish Smith,1.9000000000000004,6.451612903225806,,
372,,,,,,,Jabari Smith Jr.,25.000000000000004,32.25806451612903,,
373,,,,,,,Jalen Smith,26.450000000000003,29.03225806451613,,
374,,,,,,,Jeremy Sochan,18.725,12.903225806451612,,
375,,,,,,,Jaden Springer,4.75,51.61290322580645,,
376,,,,,,,Lamar Stevens,0.625,9.67741935483871,,
377,,,,,,,Isaiah Stewart,30.05,32.25806451612903,,
378,,,,,,,Max Strus,25.0,25.806451612903224,,
379,,,,,,,Jalen Suggs,21.125,41.935483870967744,,
380,,,,,,,Edmond Sumner,8.5,29.03225806451613,,
381,,,,,,,Cole Swider,2.75,32.25806451612903,,
382,,,,,,,Jae'Sean Tate,20.125,29.03225806451613,,
383,,,,,,,Jayson Tatum,49.175,64.51612903225806,,
384,,,,,,,Terry Taylor,9.575,25.806451612903224,,
385,,,,,,,Garrett Temple,5.875,32.25806451612903,,
386,,,,,,,Dalen Terry,0.7999999999999998,22.58064516129032,,
387,,,,,,,Cam Thomas,1.75,6.451612903225806,,
388,,,,,,,Klay Thompson,20.725,38.70967741935484,,
389,,,,,,,JT Thor,5.6,25.806451612903224,,
390,,,,,,,Matisse Thybulle,5.175000000000001,25.806451612903224,,
391,,,,,,,Xavier Tillman Sr.,10.25,16.129032258064516,,
392,,,,,,,Isaiah Todd,0.7,12.903225806451612,,
393,,,,,,,Obi Toppin,17.275,38.70967741935484,,
394,,,,,,,Juan Toscano-Anderson,9.575,19.35483870967742,,
395,,,,,,,Karl-Anthony Towns,40.8,45.16129032258064,,
396,,,,,,,Gary Trent Jr.,27.85,41.935483870967744,,
397,,,,,,,P.J. Tucker,15.025,32.25806451612903,,
398,,,,,,,Myles Turner,31.9,35.483870967741936,,
